id,manchete,f1,f2,f3
1066,"Às vésperas de votação do Mover, inclusão ou não de taxação de compras de até US$ 50 está indefinida","A Câmara dos Deputados deve votar nesta semana o projeto de lei que cria o programa Mobilidade Verde e Inovação (Mover), com discussão sobre a possível retirada do trecho que elimina a isenção do imposto de importação para compras internacionais.","Executivos das varejistas chinesas e setores do comércio nacional se posicionam de forma oposta, enquanto o governo e o presidente Lula ainda avaliam a questão, que envolve negociações no Palácio do Planalto.","Caso aprovada, a proposta seguirá para o Senado, enquanto o debate sobre a tributação de compras internacionais permanece em andamento, influenciado por interesses políticos e econômicos diversos."
1067,"Conselho do INSS discute corte de juros do consignado para 1,66% ao mês","O Conselho Nacional da Previdência Social (CNPS) deve aprovar nesta segunda-feira uma nova redução no teto dos juros do consignado para aposentados e pensionistas do INSS, com as taxas caindo de 1,68% para 1,66% ao mês no empréstimo com desconto em folha e de 2,49% para 2,46% ao mês no cartão consignado.","A medida, proposta pelo Ministério da Previdência, busca refletir a queda na taxa Selic, atualmente em 10,50% ao ano, apesar da resistência do setor financeiro.","Essa é a oitava redução consecutiva na taxa do consignado, que já passou por aumentos e suspensões devido às reações dos bancos."
1068,"Mesmo com sinais de fim do ciclo de cortes, governo vê espaço para Selic abaixo de 10% ao ano","Apesar das sinalizações do Banco Central de que o ciclo de cortes de juros pode ter acabado, o governo acredita que ainda há espaço para redução da Selic em ritmo menor, abaixo de 10% ao ano.","As expectativas de inflação para 2024 e 2025 têm aumentado devido às mudanças nas metas fiscais e à incerteza sobre os novos diretores do BC, cuja composição será majoritariamente alinhada ao governo.","O governo mantém o foco na redução da inflação e na melhora do nível de atividade econômica, mesmo diante das incertezas sobre o cenário inflacionário futuro."
1069,Haddad diz que debate sobre taxação de compras internacionais está 'polarizado',"O ministro da Fazenda, Fernando Haddad, afirmou que o debate sobre a taxação de compras internacionais está polarizado e deve ser discutido com o Congresso Nacional, incluindo o projeto que pode reintroduzir o Imposto de Importação para compras de até US$ 50 por pessoas físicas.","O projeto, que prevê o fim da isenção atualmente vigente, conta com apoio do presidente da Câmara, Arthur Lira, enquanto o governo busca manter a isenção por considerar o impacto social e econômico.","O presidente Lula destacou a complexidade do tema, afirmando que a questão envolve diferentes visões e que é importante garantir o acesso de pessoas pobres às compras, incluindo bugigangas."
1070,Haddad levanta possibilidade de apresentar MP de compensação da desoneração na próxima semana,"O ministro da Fazenda, Fernando Haddad, informou que a medida provisória para compensação da desoneração da folha de pagamento está pronta e pode ser enviada nesta semana ou na próxima, dependendo de deliberação junto ao Senado.","A semana em Brasília será mais curta devido ao feriado de Corpus Christi, e o envio da medida será decidido em conjunto com o Congresso, com a garantia de que a desoneração está assegurada para este ano.","Haddad também mencionou que discutirá com o vice-presidente e ministro do Desenvolvimento, Geraldo Alckmin, iniciativas para a indústria do Rio Grande do Sul, incluindo uma linha de crédito para empresas afetadas pelas chuvas no estado."
1071,"Boletim Focus: mercado eleva projeções do IPCA para 2024, 2025 e 2026","Os analistas de mercado elevaram as projeções do IPCA para 2024 de 3,80% para 3,86%, indicando uma desancoragem das expectativas inflacionárias após mudanças nas metas fiscais.","As previsões para o crescimento do PIB e a taxa Selic permaneceram estáveis, com a Selic em 10% para 2024 e 9% para 2025 e 2026, enquanto as expectativas para o dólar aumentaram de US$ 5,04 para US$ 5,05.",Essas revisões refletem um cenário de maior cautela e ajustes nas perspectivas econômicas do país.
1072,"Cigarro pode ser taxado em 250% e cerveja em 46%, estima banco","O Banco Mundial desenvolveu uma ferramenta que estima as alíquotas do Imposto Seletivo sobre produtos considerados nocivos à saúde e ao ambiente, com projeções que variam de 32,9% para refrigerantes a 250% para cigarros.","A iniciativa visa fornecer dados para simulações e auxiliar na elaboração da reforma tributária, que busca manter a carga tributária atual e promover uma tributação mais eficiente.","Especialistas alertam que a regulamentação do sistema será complexa, influenciando significativamente a arrecadação e a composição do novo Imposto sobre Valor Agregado (IVA)."
1073,"'Esta semana fiquei nervoso porque vi o preço do arroz muito caro no supermercado', diz Lula",O presidente Lula afirmou que ficou nervoso e irritado com o aumento do preço do arroz no supermercado e anunciou a decisão de importar um milhão de toneladas do produto para equilibrar os preços.,"O governo também reduziu impostos sobre a importação de arroz por meio de medidas provisórias, como parte das ações para enfrentar os efeitos do desastre climático no Rio Grande do Sul.","Lula destacou investimentos em infraestrutura, aumento do salário mínimo e planos para ampliar a educação, reforçando seu compromisso com o crescimento econômico e social do país."
1074,"Dia da Indústria: setor busca modernização, com inovação e compromisso sustentável","O programa Nova Indústria Brasil, lançado pelo governo Lula, busca reverter a desindustrialização do país por meio de inovação, modernização e transição energética, com potencial para aumentar a participação da indústria no PIB.","Especialistas alertam para a necessidade de acelerar a implementação das ações, evitar erros do passado e focar na elevação da produtividade, além de fortalecer investimentos em infraestrutura, pesquisa e desenvolvimento.","Para alcançar esses objetivos, é fundamental promover uma coordenação eficiente das políticas industriais, ampliar recursos e evitar a dependência excessiva de subsídios, visando competir internacionalmente com países como Estados Unidos, China, Alemanha e Coreia do Sul."
1075,Campos Neto vê 'notícia ruim' em projeções de inflação,"As expectativas de inflação no Brasil têm aumentado devido a fatores como a questão fiscal, a incerteza externa e a credibilidade do Banco Central, o que preocupa a autoridade monetária.","Essa elevação nas projeções levou a uma alta nas taxas de juros futuras e na cotação do dólar, refletindo uma perda de confiança no controle da inflação pelo BC.","O cenário interno, marcado por instabilidades políticas e mudanças na presidência do Banco Central, contribui para a deterioração da percepção de estabilidade econômica no país."
1076,"País pode ter inflação maior que o esperado por causa da tragédia climática no RS, diz Campos Neto","A alta dos alimentos no Brasil, impulsionada pela tragédia climática no Rio Grande do Sul, pode elevar a inflação além do esperado, segundo o presidente do Banco Central, Roberto Campos Neto.","O estado, responsável por uma significativa parcela da produção agrícola nacional, sofreu danos que afetam itens como arroz, aveia e trigo, impactando o IPCA.","Campos Neto destacou a incerteza sobre os custos de reconstrução e seu possível efeito no quadro fiscal brasileiro, ressaltando que a inflação de alimentos deve permanecer elevada globalmente."
1077,Governo define alocação de recursos de 2ª emissão de título sustentável e quer ir a mercado,"O governo federal está preparado para lançar a segunda emissão de títulos sustentáveis, com a definição da alocação dos recursos prevista pelo relatório pré-emissão divulgado nesta sexta-feira.","A emissão, que segue a primeira realizada em novembro de 2023, destinará entre 50% e 60% dos recursos a despesas ambientais e o restante a gastos sociais, com critérios de transparência e alinhamento às melhores práticas internacionais.","O Brasil foi reconhecido internacionalmente por seu compromisso com a sustentabilidade, recebendo o prêmio no 9º Climate Bonds Awards na categoria de maior esforço em política de transição integrada."
1078,"Déficit em conta corrente soma US$ 2,516 bilhões em abril, afirma BC","O resultado das transações correntes do Brasil em abril foi negativo em US$ 2,516 bilhões, o pior desempenho para o mês desde 2019, refletindo déficits em contas de serviços, renda primária e financeira.","Apesar do saldo positivo na balança comercial de US$ 6,798 bilhões, o país apresentou um déficit acumulado de US$ 17,310 bilhões na conta corrente no ano até abril, e a projeção do Banco Central indica um déficit de US$ 48 bilhões para 2024.","Os investimentos estrangeiros diretos somaram US$ 3,867 bilhões em abril, enquanto a saída de lucros e dividendos atingiu US$ 3,732 bilhões, contribuindo para o saldo negativo na conta de transações correntes."
1079,"Justiça libera R$ 2,3 bi para aposentados que ganharam ações contra o INSS; veja como consultar","O Conselho da Justiça Federal (CJF) autorizou o pagamento de R$ 2,35 bilhões para mais de 140 mil aposentados, pensionistas e titulares de auxílios que ganharam processos contra o INSS em abril, referentes a indenizações de até 60 salários mínimos.","Os recursos, destinados a 230.098 pessoas, serão distribuídos pelos Tribunais Regionais Federais (TRFs), que definirão as datas de depósito e realizarão os créditos em contas específicas no Banco do Brasil ou na Caixa Econômica Federal.","Beneficiários falecidos também têm direito ao pagamento, mediante comprovação legal do vínculo, e o valor total reservado para ações previdenciárias e assistenciais na Justiça Federal soma aproximadamente R$ 1,9 bilhão."
1080,Cade dá aval e Petrobras cancela privatização de TBG e 5 refinarias,"A Petrobras anunciou a retirada de cinco refinarias e da subsidiária Transportadora Brasileira Gasoduto Bolívia-Brasil (TBG) do seu plano de privatização, mantendo o controle de ativos estratégicos conforme o novo Plano Estratégico para 2024-2028.","A decisão ocorreu após a aprovação do Cade para alterações nos acordos de 2019, que estabeleciam regras para a venda desses ativos, justificando-se por baixo interesse e avaliação econômica desfavorável às alienações.","A estatal afirmou que a permanência dos ativos é fundamental para a política energética nacional e para a transição energética, garantindo a transparência e a competitividade nas negociações futuras."
1081,"EUA podem levar mais tempo do que outros países para voltar à meta de 2%, diz membro do Fed","O presidente do Federal Reserve de Atlanta, Raphael Bostic, afirmou que a economia dos Estados Unidos deve levar mais tempo para atingir a meta de inflação de 2% do que outros países desenvolvidos.","Ele destacou que o setor de empregos permanece aquecido, permitindo ao banco central manter as taxas de juros inalteradas no curto prazo.","Bostic também ressaltou que os riscos inflacionários ainda existem, embora a desaceleração da inflação esteja ocorrendo de forma lenta."
1082,"'Indústria brasileira tem que levantar a cabeça e se defender', afirma Mercadante","O presidente do BNDES, Aloizio Mercadante, destacou a necessidade de o setor industrial brasileiro reagir ao crescente protecionismo de países desenvolvidos e defender-se por meio de estratégias de defesa comercial.","Ele ressaltou que o Brasil deve aproveitar oportunidades em áreas como fármacos, biocombustíveis e combustíveis renováveis, além de monitorar e ajustar medidas de proteção à indústria do aço.","Mercadante afirmou que o governo continuará acompanhando o setor, podendo flexibilizar ou reforçar medidas conforme o cumprimento de metas e investimentos anunciados."
1083,Dolarização na Argentina: Milei apresenta como pretende transformar a economia do país,"O presidente da Argentina, Javier Milei, reafirmou sua intenção de dolarizar a economia do país, explicando que, após limpar o balanço do banco central e reformar o sistema financeiro, o peso será gradualmente substituído pelo dólar, com ambos as moedas coexistindo em uma ""livre concorrência"".","Desde sua posse em dezembro, Milei tem tomado medidas para reduzir os passivos do banco central e liquidar sua dívida, incluindo a migração de um terço dessa dívida para o Tesouro, além de cortar os juros básicos de 133% para 40%.","A transição para a dolarização deve ocorrer de forma gradual, com controles de capital sendo removidos após a liquidação total da dívida do banco central."
1084,"Governo está fazendo o dever de casa no Orçamento e persegue meta de inflação, diz Tebet","A ministra do Planejamento, Simone Tebet, afirmou que o governo está focado em cumprir a meta de inflação de 3%, ressaltando a importância do controle fiscal e do arcabouço fiscal para evitar gastos excessivos.","Ela destacou a necessidade de uma cultura de planejamento mais sólida no país, apontando o Plano Plurianual como instrumento de prioridades como neoindustrialização e geração de emprego.","Tebet também mencionou a oportunidade de crescimento a partir de 2026, impulsionada pela aprovação da reforma tributária e pelos projetos de integração regional."
1085,Lula sinaliza possibilidade de vetar projeto de taxação de compras na Shein e AliExpress,"O presidente Lula afirmou que há uma tendência do governo vetar a taxação de compras internacionais de até US$ 50, caso o Congresso decida cancelar a isenção fiscal dessas transações.","A medida, incluída como ""jabuti"" no projeto do programa Mover, gerou polêmica e foi adiada, com o governo planejando reduzir a alíquota para 28%.","A proposta divide opiniões, pois aumenta a arrecadação federal, mas enfrenta resistência na base governista e na oposição devido à sua impopularidade."
1086,"Não há problema em divisão do Copom, diz Diogo Guillen","O diretor de Política Econômica do Banco Central, Diogo Guillen, afirmou que há uma pressão do mercado de trabalho aquecido nos salários e que o cenário internacional mais adverso exige maior cautela na condução da política monetária em mercados emergentes.","Ele destacou a dificuldade de prever a velocidade da desinflação global e comentou sobre a divisão de opiniões no Comitê de Políticas Monetárias, ressaltando a importância da transparência nas decisões.","Guillen também mencionou que as reformas estruturais contribuíram para o aumento do potencial de crescimento da economia, e que o BC atualizará a estimativa do juro neutro, mas de forma menos frequente."
1087,Microempreendedor Individual é a cara do Brasil que avança,"O Microempreendedor Individual (MEI), criado há 15 anos durante o governo Lula, tem impulsionado a formalização de milhões de brasileiros, promovendo inclusão social e aumento de renda.","A iniciativa oferece vantagens como acesso a crédito, emissão de notas fiscais e participação em compras públicas, além de não impedir o beneficiário de programas sociais como o Bolsa Família.","O Sebrae e o governo federal estão mobilizados para ampliar o alcance do programa, com propostas de reajuste no limite de faturamento e facilitação de crédito, visando fortalecer o empreendedorismo como motor de crescimento econômico."
1088,Argentina encolhe 8% e Milei faz show de rock: “sou o rei de um mundo perdido”,"A economia argentina sofreu uma queda de 8,4% em março, o pior resultado desde 2020, após cinco meses consecutivos de retração, impulsionada pelas políticas de austeridade do presidente Javier Milei.","Os setores de construção e indústria manufatureira foram os mais afetados, enquanto a agricultura apresentou crescimento de 14,1%, e a inflação começou a desacelerar, atingindo 8,8% em abril.","Apesar da crise econômica, a aprovação de Milei está praticamente empatada com a rejeição, variando conforme regiões e perfil dos eleitores, refletindo um cenário de instabilidade política e econômica."
1089,Haddad admite preocupação com o 3º bimestre por causa do RS,"O ministro da Fazenda, Fernando Haddad, afirmou estar satisfeito com o Relatório de Avaliação de Receitas e Despesas Primárias do 2º bimestre de 2024, mas demonstrou preocupação com o impacto das tragédias no Rio Grande do Sul no terceiro bimestre.","Ele destacou o bom desempenho da arrecadação federal e as medidas adotadas no ano passado, como a retomada do voto de qualidade no Carf e as transações tributárias.","Após a fala de Haddad, foi anunciada a reversão do bloqueio de R$ 2,9 bilhões em despesas discricionárias, mantendo uma folga de R$ 2,5 bilhões no limite de gastos do novo arcabouço fiscal."
1090,Haddad afirma que anúncio de medida compensatória para desoneração depende ainda de Lula,"O ministro da Fazenda, Fernando Haddad, afirmou que as medidas para compensar a perda arrecadatória com a prorrogação da desoneração da folha ainda dependem do aval do presidente Lula.","Ele destacou que o governo não pretende usar a taxação de compras internacionais de até US$ 50 como fonte de compensação e que o Congresso tem papel importante na aprovação das medidas, podendo modificar propostas.","Haddad ressaltou a necessidade de o Executivo apresentar soluções viáveis para cumprir a meta de resultado primário, considerando a dinâmica do Legislativo e a facilidade de derrubar vetos presidenciais na atualidade."
1091,"Governo desbloqueia despesas no Orçamento e prevê déficit de R$ 14,5 bi este ano","O governo reverteu o bloqueio de despesas não obrigatórias do Orçamento de 2024, ampliando os gastos em R$ 15,8 bilhões com a retomada do DPVAT, o que permitiu evitar um corte de R$ 2,9 bilhões.","Apesar do aumento nas despesas primárias e na projeção de déficit primário, o governo afirma que a meta fiscal ainda será cumprida, com previsão de déficit de R$ 14,5 bilhões dentro da margem de tolerância.","O relatório destaca que as medidas extras para recuperar receitas não alteraram as expectativas de arrecadação, e o cenário econômico permanece dentro das projeções oficiais."
1092,Presidente do BNDES quer taxas menores para linha de crédito para reconstrução do RS,"O presidente do BNDES, Aloizio Mercadante, defendeu taxas menores para uma linha de crédito destinada à reconstrução do Rio Grande do Sul, sem revelar detalhes específicos, afirmando que o anúncio será feito pelo presidente Lula.","Ele destacou os esforços do banco em promover debates internacionais e desenvolver estratégias de mitigação e adaptação às mudanças climáticas, incluindo a reconstrução de cidades afetadas pela tragédia no estado.","Mercadante ressaltou a importância de repensar a ocupação do solo e acelerar a transição energética, afirmando que a crise expôs a necessidade de ações concretas contra o aquecimento global."
1093,"Congresso tem toda a legitimidade de disciplinar compras internacionais por lei, afirma Haddad","O ministro da Fazenda, Fernando Haddad, afirmou que o Congresso tem legitimidade para disciplinar compras internacionais por lei, incluindo a taxação de mercadorias até US$ 50, atualmente isentas de imposto federal.","Ele destacou a complexidade do programa Remessa Conforme, que envolve empresas que disfarçam vendas comerciais como remessas pessoais, e ressaltou acordos com o Congresso para desoneração de setores e municípios.","Haddad reforçou a meta de elevar as receitas a 18% do PIB, reduzir despesas e manter o cuidado com a dívida brasileira, citando reveses jurídicos que impactaram a arrecadação."
1094,Haddad diz que nível do IVA será menor que os impostos atuais,"Fernando Haddad afirmou que a alíquota do novo IVA dependerá da base arrecadatória, mas garantiu que será significativamente menor do que os impostos atuais.","Ele destacou que a reforma busca manter a carga tributária estável e que o ritmo de aprovação das propostas cabe ao Congresso, não ao Executivo.","O ministro também ressaltou o esforço do governo em realizar ajustes fiscais sem prejudicar famílias e empresários, enfrentando o passivo fiscal herdado e promovendo cortes em gastos tributários considerados injustificados."
1095,Os bastidores do evento que reuniu lideranças em NY para debater os caminhos do Brasil,"O Brazil Summit, realizado em Nova York pelo Financial Times com a parceria da EXAME, reuniu líderes empresariais e governamentais para discutir o desenvolvimento econômico do Brasil, destacando a importância dos estados na atração de investimentos e na implementação de soluções locais.","Durante o evento, foram abordados temas como a transição energética, a inovação no agronegócio, a educação e a necessidade de investimentos em infraestrutura e tecnologia para impulsionar o crescimento sustentável.","Os participantes reforçaram a perspectiva de que o Brasil possui potencial para liderar a transição para uma economia mais verde e resiliente, desde que avance em reformas estruturais e na integração de setores estratégicos."
1096,BNDES anuncia crédito de R$ 500 mi a fornecedores de materiais e equipamentos para SUS,"O BNDES anunciou a criação do programa de crédito ""Fornecedores SUS"" com orçamento de R$ 500 milhões, válido até 30 de junho de 2028, para incentivar a produção nacional de equipamentos e materiais de saúde.","A linha de crédito busca simplificar análises e reduzir o valor mínimo para R$ 10 milhões, vinculando o fornecimento ao SUS às metas de aumento da participação da produção local, que atualmente é de 42%.","O banco de fomento destacou o déficit comercial do setor de saúde brasileiro, que atingiu US$ 21 bilhões em 2023, reforçando a necessidade de ampliar a produção nacional."
1097,"A prefeitos, Lula anuncia acordo em desoneração, dívida previdenciária e regras de precatórios","O presidente Lula anunciou medidas para apoiar municípios, incluindo novas regras de financiamento de dívidas previdenciárias e precatórios, além de recursos financeiros e emendas.","Ele destacou a manutenção da alíquota previdenciária em 8% em 2024, a liberação de R$ 7,563 bilhões em emendas e a securitização das dívidas, que pode gerar até R$ 180 bilhões para os governos locais e federal.","Lula também apresentou iniciativas para facilitar o acesso ao crédito por pequenas prefeituras e anunciou um novo modelo de financiamento para a atenção primária à saúde, com repasse de R$ 4,3 bilhões pelo Ministério da Saúde."
1098,"Arrecadação federal chega a R$ 228,8 bilhões em abril e bate novo recorde","A arrecadação do governo federal em abril de 2024 atingiu R$ 228,873 bilhões, representando um crescimento real de 8,26% em relação ao mesmo mês do ano anterior, sendo o melhor desempenho para o mês desde 1995.","No acumulado de janeiro a abril, a arrecadação totalizou R$ 838,073 bilhões, um aumento de 8,36% em comparação ao mesmo período de 2023, marcando o melhor resultado desde 2000.","O crescimento foi impulsionado por fatores como o comportamento das variáveis macroeconômicas, a retomada da tributação do PIS/Cofins sobre combustíveis e a tributação dos fundos exclusivos, segundo a Receita Federal."
1099,EUA rejeita proposta brasileira de taxação de bilionários,"A secretária do Tesouro dos Estados Unidos, Janet Yellen, rejeitou a proposta do Brasil de criar um imposto global de 2% sobre a riqueza dos bilionários, considerando-a um passo longe demais para os EUA.","Enquanto o Brasil e outros países do G20 apoiam a iniciativa para combater a evasão fiscal e a desigualdade, Yellen destacou a preferência por tributação progressiva e criticou a ideia de um arranjo global para redistribuição de lucros.","A proposta, que poderia gerar cerca de US$ 250 bilhões anuais, busca impedir que os ultra-ricos evitem impostos por meio de paraísos fiscais, mas enfrenta resistência nos Estados Unidos devido a questões políticas internas."
1100,"FMI revê para cima previsão e espera que Reino Unido cresça 0,7% neste ano, com 'pouso suave'","O FMI afirma que o crescimento do Reino Unido se recupera mais rápido que o esperado, com previsão de alta de 0,7% do PIB em 2023 e 1,5% em 2025, indicando uma aproximação de um ""pouso suave"" após uma leve recessão técnica.","A instituição destaca a desaceleração da inflação e a necessidade de cautela na política de juros, além de reconhecer a política fiscal adequada, mas com desafios futuros para estabilizar a dívida pública.","O FMI também reforça a importância de reformas estruturais, manutenção das metas climáticas e melhorias na atuação do Banco da Inglaterra para fortalecer a economia do país."
1101,"Siderúrgicas anunciam R$ 100,2 bi em investimentos no Brasil até 2028","Empresas do setor siderúrgico anunciaram um investimento de R$ 100,2 bilhões no Brasil até 2028, após reunião com autoridades do governo, incluindo o presidente Lula.","O governo implementou cotas de importação e tarifas para proteger a indústria nacional, buscando aumentar a competitividade e reduzir a ociosidade do setor, que atualmente opera com cerca de metade de sua capacidade instalada.","O setor, que emprega aproximadamente 2,9 milhões de pessoas, celebra os investimentos, mas setores como petroquímico e construção civil continuam demandando medidas contra a concorrência desleal de produtos importados."
1102,Alckmin pede que deputados retirem taxação de importados do Mover,Geraldo Alckmin defende junto ao Congresso a separação da retomada do Imposto de Importação para compras de até US$ 50 por pessoas físicas do projeto do Programa Mobilidade Verde e Inovação (Mover).,"A proposta, que visa reintroduzir a taxação em pequenos envios de sites estrangeiros como Shein e Shopee, enfrenta resistência de parlamentares do PT e do governo, adiando sua votação.","O governo espera que a medida seja aprovada em breve, antes do vencimento da medida provisória em 1º de junho, enquanto o programa também prevê incentivos fiscais para fabricantes automotivos até 2028."
1103,"BNDES está discutindo com a Fazenda linha especial para reconstrução do RS, diz Barbosa","O BNDES está negociando com o Ministério da Fazenda a criação de uma linha de crédito especial para a reconstrução do Rio Grande do Sul, com recursos do Tesouro e de entidades multilaterais como NDB, CAF e BID.","A iniciativa visa atender tanto entes públicos quanto pequenas e médias empresas, incluindo recursos reembolsáveis e não reembolsáveis, para cobrir perdas, danos e infraestrutura resiliente.","O valor estimado para os investimentos é de cerca de R$ 10 bilhões ao longo de vários anos, com prioridade na coordenação e otimização dos recursos disponíveis para a recuperação do estado."
1104,Boletim Focus: mercado consolida desancoragem de expectativas de inflação e espera juros mais altos,"Os analistas de mercado consultados pelo Banco Central elevaram as projeções de inflação para 2024 e 2025, indicando uma desancoragem de expectativas.","Como consequência, a mediana para a taxa Selic aumentou para 10% ao ano, refletindo a necessidade de juros mais altos por mais tempo na economia brasileira.","Além disso, a projeção de crescimento do PIB para 2023 foi revisada para baixo, de 2,09% para 2,05%, enquanto as estimativas para os anos seguintes permanecem estáveis."
1105,"Na China, PBoC mantém principais taxas de juros (LPRS) inalteradas","O Banco do Povo da China manteve as principais taxas de juros inalteradas em 3,45% para empréstimos de 1 ano e 3,95% para 5 anos.","A decisão ocorre após uma redução de 0,25 ponto percentual na taxa de 5 anos em fevereiro, a primeira alteração desde agosto.",A manutenção das taxas indica uma postura de estabilidade na política monetária do país.
1106,"Após pedido do governo, Zanin suspende liminar que reonera a folha de pagamentos por 60 dias","O ministro Cristiano Zanin, do STF, suspendeu por 60 dias a decisão que reonerou a folha de pagamentos de 17 setores da economia e prefeituras, atendendo a pedido do governo.","A medida foi tomada enquanto ocorre uma negociação legislativa entre o governo, o Congresso e o Senado para resolver a controvérsia, incluindo um acordo para desoneração dos municípios em 2024.","Caso não haja solução nesse prazo, a liminar original será restabelecida, sem prejuízo do julgamento final da ação."
1107,Haddad: governo anuncia na próxima semana medidas sobre impacto e compensação da desoneração,"O ministro da Fazenda, Fernando Haddad, anunciou que a equipe econômica divulgará na próxima semana as estimativas de impacto e medidas compensatórias relacionadas à manutenção da desoneração da folha de pagamento para 17 setores e municípios em 2024.","A medida, cujo impacto foi estimado em R$ 7,2 bilhões para os municípios e R$ 10 bilhões para os setores, prevê uma reoneração gradual a partir de 2025, com negociações em andamento com o Congresso.","Haddad afirmou que continuará buscando o cumprimento da meta fiscal de déficit zero, mesmo diante dos benefícios concedidos, e destacou que o país está em um regime democrático."
1108,Fiergs pede ao governo Lula flexibilização trabalhista e novas linhas de crédito ao RS,"A Fiergs apresentou ao governo federal reivindicações para auxiliar a recuperação da indústria afetada pelas enchentes no Rio Grande do Sul, incluindo flexibilização trabalhista e novas linhas de crédito.","O governo, representado por Alckmin, destacou a necessidade de medidas urgentes para manter empregos e reconstituir a economia da região, com foco em crédito a juros zero e benefícios fiscais.","A expectativa é que o presidente Lula sancione em breve a lei de depreciação acelerada, enquanto o governo trabalha na implementação de programas específicos para o estado."
1109,Fazenda já vê Selic maior em função de cenário externo,"O secretário de Política Econômica do Ministério da Fazenda, Guilherme Mello, afirmou que o cenário internacional, especialmente nos EUA, influencia as expectativas de juros e crescimento do Brasil, com projeções de uma menor quantidade de cortes na Selic e uma taxa terminal mais elevada.","O Boletim Macrofiscal revisou para cima as estimativas de crescimento do PIB em 2024, de 2,2% para 2,5%, e também elevou a projeção de inflação pelo IPCA para 3,70%, considerando impactos cambiais e climáticos.","Apesar das pressões inflacionárias temporárias, o documento aponta que as perspectivas de crescimento permanecem favoráveis, impulsionadas pelo aumento do consumo, geração de empregos e expansão do crédito doméstico."
1110,Isenção de compras de até US$ 50 na Shein e AliExpress vai acabar? Entenda a discussão no Câmara,"A discussão sobre o fim da isenção do imposto de importação para compras de até US$ 50 em sites internacionais, como Shein e AliExpress, avança na Câmara dos Deputados, com o relator Átila Lira propondo a eliminação da faixa de isenção.","A proposta, apoiada pelo governo e por setores da indústria nacional, busca equilibrar a concorrência com o varejo estrangeiro, enquanto empresas internacionais e parte do PT defendem a manutenção da isenção para evitar impactos negativos.","A tramitação do projeto ainda depende de votação no Senado, e a Fazenda avalia reduzir a alíquota do tributo como alternativa para atender às demandas fiscais e políticas do governo."
1111,"Mudanças em regras da Previdência podem gerar economia de R$ 550 bilhões em dez anos, diz estudo","Um estudo do Centro de Liderança Pública (CLP) aponta que a redução do reajuste dos benefícios previdenciários e a revisão das regras de aposentadoria rural poderiam gerar economias significativas para as contas públicas, estimadas em até R$ 400 bilhões em dez anos.","A proposta inclui corrigir o piso da Previdência apenas pela inflação a partir de 2025 e elevar a idade de aposentadoria rural para 65 anos até 2030, visando conter o crescimento dos gastos previdenciários.","No entanto, essas mudanças enfrentam resistência política, especialmente devido ao impacto sobre os beneficiários e ao envelhecimento acelerado da população brasileira."
1112,China anuncia medidas ‘históricas’ para setor imobiliário,"A China anunciou medidas ""históricas"" para estabilizar o setor imobiliário em crise, incluindo compras de imóveis por governos locais, relaxamento de regras de hipoteca e criação de um fundo de 300 bilhões de yuans para habitação acessível.","Essas ações visam conter a queda dos preços, reduzir estoques e estimular a demanda, em meio a uma desaceleração contínua do mercado imobiliário.","No entanto, o setor permanece desafiado, com queda nos preços, investimentos e vendas, e a eficácia das medidas a longo prazo ainda é incerta."
1113,FMI espera que economia argentina 'comece a crescer' no segundo semestre,"O FMI acredita que o plano de ajuste da Argentina, liderado pelo presidente Javier Milei, está apresentando resultados melhores que o esperado, incluindo superávit fiscal e redução da inflação.","A organização está satisfeita com os avanços e aprovou a oitava revisão do pacote de ajuda, que prevê o desembolso de US$ 800 milhões, condicionada ao cumprimento de metas.","Apesar disso, o FMI destacou a necessidade de o país continuar enfrentando desafios fiscais, monetários e de reformas para estimular o crescimento e atrair investimentos, sem mencionar possíveis aumentos de empréstimos além do previsto."
1114,Será que é certo o Estado taxar as remessas postais internacionais?,"O texto discute a retomada do debate sobre a tributação de compras internacionais abaixo de cinquenta dólares, destacando a complexidade das opiniões e a prática de sonegação na declaração de remessas.","Com a implementação da isenção até US$ 50,00 em 2023, a fiscalização aumentou significativamente, refletindo uma mudança na relação entre Estado e consumidores.","O autor conclui que, embora haja necessidade de regulação e controle, o equilíbrio deve envolver uma abertura de mercado que favoreça a competitividade das empresas nacionais sem abrir mão da segurança e proteção ao consumidor."
1115,"Ações da Caixa no RS já somam impacto de R$ 66,8 bi na carteira, diz presidente do banco","A Caixa Econômica Federal anunciou ações que totalizam R$ 66,8 bilhões na carteira do banco devido às enchentes no Rio Grande do Sul, afetando 50 unidades do banco na região.","Entre as medidas, destaca-se a pausa de seis meses nas prestações de financiamentos habitacionais, pessoais e de crédito consignado, além da redução da taxa de crédito consignado, impactando R$ 52 bilhões e R$ 10 bilhões, respectivamente.",O banco também antecipou pagamentos de benefícios sociais e disponibilizou sua estrutura para instalação de escritórios de monitoramento do governo federal na região.
